№,Номенклатура,Номенклатура.Код,Ед.изм,янв. 2024,февр. 2024,март 2024,апр. 2024,май 2024,июнь 2024,июль 2024,авг. 2024,сент. 2024,окт. 2024,нояб. 2024,дек. 2024,янв. 2025,февр. 2025,март 2025,апр. 2025,май 2025,июнь 2025,июль 2025,авг. 2025,сент. 2025,окт. 2025,нояб. 2025,дек. 2025,янв. 2026,февр. 2026,март 2026,апр. 2026,май 2026,июнь 2026,июль 2026,авг. 2026,сент. 2026
13," S186  с/у. з/ш 16А  ""Wessen 59""  РС 16-151-18 (10/60) !!!",030200072_,шт,128,126,123,121,115,89,88,1182,1182,1182,1182,1182,1182,1175,1175,1175,1175,1232,1308,1308,1289,1272,1256,1252,24,24,24,24,23,3,3,3,3
14," S187 с/у. з/ш. з/к.16А ""Wessen 59"" РС 16-152-18 (10/60) !!!",030200093_,шт,208,174,152,150,150,148,81,1046,1030,1030,1030,1030,1022,1021,1021,1021,1021,1248,1331,1331,1331,1330,1330,1288,336,56,22,12,3,3,3,3,3
15," S188   с/у. з/ш, 2-я 16А  ""Wessen 59"" РС 16-254-18 (6/36) !!!",030200135_,шт,208,208,205,200,199,172,172,172,172,172,172,172,147,147,147,147,147,243,250,249,249,247,247,244,206,204,188,167,154,106,63,17,
16," S189  с/у. з/ш, з,к, 2-я 16А  ""Wessen 59"" РС 16-255-18 (6/36) !!!",030200136_,шт,71,51,48,48,46,40,20,203,203,203,203,203,200,200,200,200,199,305,454,494,492,471,475,473,219,136,130,125,90,78,55,55,30
17," S190  с/у. з/ш. з/к.16А, IP44 ""Wessen 59"" РС 16-152Б-18 (10/60) !!!",030200134_,шт,1073,1063,1061,1061,1061,1061,1061,1204,1199,1198,1198,1198,1232,1232,1232,1232,1232,1274,1274,1274,1272,1272,1272,1271,1080,1076,1055,1055,972,936,925,898,868
18," S191 роз тел. с\у 1А ""Wessen 59"" РСИ 152 Т-18 (60) !!!",030200094_,шт,9,9,9,9,9,9,7,7,7,6,6,6,6,6,6,6,6,16,16,16,16,16,16,,,,,,,,,,
19," S192 роз информ. с\у 1А  ""Wessen 59"" РСИ 152 К5Е-18 (60) !!!",030200090_,шт,1,1,1,1,1,1,1,5,5,5,5,5,5,1,1,1,1,2,5,5,5,5,5,,,,,,,,,,
20," S193 2-я роз тел с\у 1А  ""Wessen 59"" РСИ 251 ТТ-18 !!! (60)",030200129_,шт,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,,,,,,,,
21," S194 2-я роз тел/комп с\у 1А  ""Wessen 59"" РСИ 251 ТК5Е-18 (60) !!!",030200095_,шт,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,4,4,4,,,,,,,,,,
22," S195 2-я роз информ. с\у 1А  ""Wessen 59"" РСИ 251 КК5Е-1-86 (60) !!!",030200142_,шт,56,53,53,53,52,52,24,24,22,22,22,22,20,20,20,20,20,20,30,30,30,30,30,22,22,22,21,21,20,20,20,20,20
23," S196  с/у.  2-я16А  ""Wessen 59"" РС 6-253-18 (60) !!! ",030200143_,шт,,,,,,,,,,,,,,,,,,13,13,13,13,13,13,,,,,,,,,,
24," S266  3кл с/у 10А  ""Wessen 59"" ВС 0510-351-18 (10/60) !!!",300100018_,шт,5,5,5,5,5,5,5,5,5,5,5,5,9,9,9,9,9,17,17,17,17,17,17,,,,,,,,,,
25, SE Wessen Суппорт для крепления в кабель-канал 60-75 !!!,030200063_,шт,,,,,,,,,,,,,,,,,,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146
26," SE Розетка ""В45"" РН 16-113-б для каб.каналов !!!",030200069_,шт,,,,,,,,,,,,,,,,,,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
27," КОРОБКА ПОДЪЕМНАЯ С/У Д/СИЛ. РОЗЕТОК,БЕЛ",300200495_,шт,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28, Распределительная коробка с/у для твердых стен  70х40 IP30 IMT35120 Systeme Electric (175),280300174_,шт,1891,1095,866,1918,8619,7186,5849,6581,6344,6093,4005,3030,4066,3438,4135,5466,4852,4372,3610,3204,2585,2151,3562,3501,2924,2047,986,1154,2802,2447,2570,1690,1758
29, Распределительная коробка с/у для твердых стен  75х30 карболит IP30 У-195 Systeme Electric (108),030300013_,шт,568,361,341,232,664,664,614,564,549,478,458,452,400,251,248,356,355,355,229,196,1,1,245,243,224,216,216,216,108,1,1,1,1
30, Распределительная коробка с/у для твердых стен 100х100х50 IP30 IMT35122 Systeme Electric (72),030200220_,шт,1604,85,34,6236,12917,13083,11919,11447,9254,7831,6373,5760,6567,5827,4828,3964,9393,6942,5704,6280,4579,8218,6559,6067,4484,3624,3967,4093,4819,3571,3057,2707,2430
31, Распределительная коробка с/у для твердых стен 100х50 IP30 IMT35121 Systeme Electric (84),030200219_,шт,12787,12248,790,7134,39852,37381,34496,34124,31257,28722,25851,24428,23292,18395,14819,23800,20798,15686,9456,11452,3892,17290,16045,10008,18330,15611,5291,21442,18756,3316,20040,24274,20089
32, Распределительная коробка с/у для твердых стен 102х15 карболит IP30 У-191 Systeme Electric (100),030300078_,шт,13,13,13,113,211,208,149,610,610,580,578,532,525,524,514,12,12,112,72,112,17,117,117,116,111,111,106,106,106,106,106,90,85
33, Распределительная коробка с/у для твердых стен 102х36 карболит IP30 У-192 Systeme Electric (56),030300014_,шт,919,869,814,734,2134,1978,1867,1616,1366,1150,949,807,891,891,857,4419,4228,2833,2833,2288,1871,1854,942,1346,1789,1488,1094,1618,1786,1841,378,1208,1203
34," РОЗЕТКА О/У 4- ая б/з б/шт.16А, БЕЛЫЙ Этюд",030200298_,шт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35, Установочная коробка для полых стен г/к  65х45 IMT35150 Systeme Electric (210),030200193_,шт,22295,1941,7,37104,116088,101151,82296,106177,85244,68677,45940,43377,75764,59196,47796,120359,94722,76865,51750,54660,66772,57716,62879,62177,56251,37220,50849,63163,80753,55619,49273,25273,27322
36, Установочная коробка для полых стен г/к  65х60 IMT35151 System Electric(120),030201459_,шт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3683,3765,3018,10808,7053
37, Установочная коробка для твердых стен 65х45 IMT35100 Systeme Electric (200),030200192_,шт,71594,9623,49,87989,277173,248438,203372,274046,224194,161521,115696,118075,183707,134016,115664,61718,250037,199124,136329,130563,139191,160264,142023,139814,158392,119081,160838,161697,179594,133507,109510,132895,93532
38, Установочная коробка для твердых стен 65х60 IMT35101 Systeme Electric (120),030200201_,шт,13134,2206,1,30519,91391,79917,64641,95609,81310,62867,47749,34668,58306,34973,39967,16250,83377,60339,41049,36039,47075,32307,53510,61391,56202,38692,56369,48589,62016,38466,38999,59302,33675
39,"A398 Роз. с з/к 16А с/у б/рамки ""ATLAS"" алюминий ATN343 (10)",300200428_,шт,929,543,2097,1864,5609,5063,4502,3934,3226,2866,2482,2299,2228,1999,2035,3190,3086,2451,2038,2059,1889,1183,1471,1695,1276,1185,1503,1123,1404,1282,972,897,890
40,"A404 USB розетка - 2 порта с/у б/рамки ""ATLAS"" алюминий ATN333 (1)",300200442_,шт,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,"ARTGALLERY НАКЛАДКА для информационных функций типа Keystone, ШАМПАНЬ",GAL000584,шт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"ATLASDESIGN 5-постовая РАМКА, универсальная, АКВАМАРИН",ATN001105,шт,,,,,,,,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
43,"ATLASDESIGN ART 1-клавишный ВЫКЛЮЧАТЕЛЬ, сх.1, 10АХ, механизм, БЕЛЫЙ !!!",ATN200111,шт,,,,,,,,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
44,"ATLASDESIGN ART 1-постовая РАМКА, БЕЛЫЙ !!!",ATN200101,шт,,,,,,,,130,130,130,130,130,130,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129
45,"ATLASDESIGN ART 2-постовая РАМКА, БЕЛЫЙ !!!",ATN200102,шт,,,,,,,,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135
46,"ATLASDESIGN ART РОЗЕТКА с заземлением со шторками, 16А, механизм, БЕЛЫЙ !!!",ATN200145,шт,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
47,"AtlasDesign PROFI IP54 О/У 1-клавишный ВЫКЛЮЧАТЕЛЬ с подсветкой 10 АХ, АНТРАЦИТ !!!",ATN544013,шт,,,,,,,,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
48,"AtlasDesign PROFI IP54 О/У 1-клавишный ВЫКЛЮЧАТЕЛЬ с подсветкой 10 АХ, БЕЛЫЙ !!!",ATN540113,шт,,,,,,,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
49,"AtlasDesign PROFI IP54 О/У 1-клавишный кнопочный ВЫКЛЮЧАТЕЛЬ 10 АХ, АНТРАЦИТ !!!",ATN544015,шт,,,,,,,,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,18,18,18,18,18,18
50,"AtlasDesign PROFI IP54 О/У 1-клавишный кнопочный ВЫКЛЮЧАТЕЛЬ 10 АХ, БЕЛЫЙ !!!",ATN540115,шт,,,,,,,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,7,7,7,7
51,"ATLASDESIGN TV АНТЕННА коннектор, механизм, АЛЮМИНИЙ !!!",ATN000393,шт,,,,,,,,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103
52,"ATLASDESIGN TV АНТЕННА коннектор, механизм, ЖЕМЧУГ !!!",ATN000493,шт,,,,,,,,18,18,18,18,18,17,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17
53,"ATLASDESIGN USB РОЗЕТКА A+A, 5В/2,1 А, 2х5В/1,05 А, механизм, АКВАМАРИН",ATN001133,шт,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
54,"ATLASDESIGN USB РОЗЕТКА A+A, 5В/2,1 А, 2х5В/1,05 А, механизм, ПЕСОЧНЫЙ !!!",ATN001233,шт,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
55,"ATLASDESIGN USB РОЗЕТКА A+С, 5В/2,4А, 2х5В/1,2А, механизм, ЖЕМЧУГ",ATN000439,шт,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,"ATLASDESIGN USB РОЗЕТКА A+С, 5В/2,4А, 2х5В/1,2А, механизм, ПЕСОЧНЫЙ !!!",ATN001239,шт,,,,,,,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
57,"ATLASDESIGN АУДИОРОЗЕТКА двойная, ЖЕМЧУГ !!!",ATN000487,шт,,,,,,,,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
58,"AtlasDesign ЗАГЛУШКА без суппорта для многопостовых рамок, ПЕСОЧНЫЙ",ATN001209,шт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"ATLASDESIGN РОЗЕТКА 16А c 2 USB A+A, 5В/2,4А, 2х5В/1,2А, механизм, АКВАМАРИН",ATN001130,шт,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
60,"ATLASDESIGN РОЗЕТКА 16А c 2 USB A+A, 5В/2,4А, 2х5В/1,2А, механизм, ПЕСОЧНЫЙ !!!",ATN001230,шт,,,,,,,,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9
61,"ATLASDESIGN РОЗЕТКА 16А c 2 USB A+C, 5В/2,4А/3,0А, 2х5В/1,5А, механизм, АКВАМАР",ATN001132,шт,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
62,"ATLASDESIGN РОЗЕТКА 16А c 2 USB A+C, 5В/2,4А/3,0А, 2х5В/1,5А, механизм, ШАМПАНЬ",ATN000532,шт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"ATLASDESIGN РОЗЕТКА 16А с 2 USB A+C, 5В/2,4А/3,0А, 2х5В/1,5А, механизм, ПЕСОЧНЫЙ !!!",ATN001232,шт,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,6,6,6
64,"AtlasDesign Розетка 1я бел. с з/к со штор. 16А, механизм,  ATN000145 !!!",300200458_,шт,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
65,"ATLASDESIGN РОЗЕТКА без заземления со шторками, 16А, механизм, ЖЕМЧУГ !!!",ATN000449,шт,,,,,,,,12,12,12,12,12,11,10,10,10,10,10,10,10,10,10,10,10,,,,,11,11,11,11,11
66,"ATLASDESIGN РОЗЕТКА без заземления, 16А, в сборе, БЕЛЫЙ",300200417_,шт,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,
67,"B001 Выкл 1кл о/у  10А 250B""BLANCA"" антрацит BLNVA101006 (15)",300201148_,шт,,,,,,,,,,,,,,,,,,1474,1330,1292,1270,1218,1117,1093,960,892,828,785,695,655,595,492,375
68,"B002 Выкл 2 кл о/у 10А 250B ""BLANCA"" антрацит BLNVA105016 (15)",300201149_,шт,,,,,,,,,,,,,,,,,255,245,106,213,197,160,113,135,105,97,88,106,89,82,84,75,69
69,"B003 Роз. о/у без з/к без ш/т 16А 250В ""BLANCA"" антрацит BLNRA000116 (18)",300201150_,шт,,,,,,,,,,,,,,,,,252,249,136,134,130,121,102,86,83,77,75,74,46,33,65,19,18
70,"B004 Роз. 2-ная о/у без з/к без ш/т 16А 250В ""BLANCA"" антрацит BLNRA000216 (10)",300201151_,шт,,,,,,,,,,,,,,,,,448,430,334,322,277,55,332,325,197,186,172,159,156,133,195,159,136
71,"B005 Роз. 3-ная о/у без з/к без ш/т16А 250В ""BLANCA"" антрацит BLNRA000316 (6)",300201152_,шт,,,,,,,,,,,,,,,,,240,237,186,107,68,98,86,79,39,39,61,60,65,65,41,49,42
72,"B006 Роз. 3-ная о/у с  з/к без ш/т 16А 250В ""BLANCA"" антрацит BLNRA010316 (5)",300201153_,шт,,,,,,,,,,,,,,,,,1176,1158,1084,1046,1005,884,872,826,656,627,524,492,442,413,370,331,273
73,"B007 Роз. 4-ная о/у без  з/к без ш/т 16А 250В ""BLANCA"" антрацит BLNRA000416 (5)",300201154_,шт,,,,,,,,,,,,,,,,,300,293,255,249,235,234,211,176,167,144,129,128,126,125,115,109,90
74,"B008 Роз. 4-ная о/у с  з/к со ш/т 16А 250В ""BLANCA"" антрацит BLNRA011416 (4)",300201155_,шт,,,,,,,,,,,,,,,,,,1196,1149,1118,1100,1078,1071,1040,967,878,837,679,629,614,588,572,517
75,"B009 Роз. о/у с з/к без ш/т 16А 250В ""BLANCA"" антрацит BLNRA010116 (12)",300200968_,шт,,,,,,,,,,,,,,,,,416,337,239,211,429,344,206,292,211,166,156,180,225,249,189,267,153
76,"B010 Роз. 2-ная о/у с з/к без ш/т 16А 250В ""BLANCA"" антрацит BLNRA010216 (8)",300200967_,шт,,,,,,,,,,,,,,,,,3200,3140,3033,2962,2826,2760,2475,2347,2167,2061,1780,1523,1271,1206,965,658,407
77,"Blanca BLNVS010101 С/У 1-клавишный выключатель (cх.1), 10А, 250B, белый BLNVS010101 Шнейдер",300200454_,шт,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"Blanca BLNVS010501 С/У 2-клавишный выключатель (cх.1), 10А, 250B, белый  Шнейдер",300200456_,шт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Blanca Выключатель 3кл. бел. С/У 10А 250B BLNVS100501,300200404_,шт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"BLANCA О/У 1-клавишный ВЫКЛЮЧАТЕЛЬ (сх.1) ИЗОЛ.ПЛ., 10А, 250В, АЛЮМИНИЙ",BLNVA101013,шт,,,,,,,,60,60,60,60,60,60,,,,,,,,,,,,,,,,,,,,
81,"BLANCA О/У 1-клавишный ВЫКЛЮЧАТЕЛЬ (сх.1) ИЗОЛ.ПЛ., 10А, 250В, ТИТАН",BLNVA101014,шт,,,,,,,,45,45,45,45,45,45,,,,,,,,,,,,,,,,,,,,
82,"BLANCA О/У 1-клавишный ВЫКЛЮЧАТЕЛЬ (сх.1) ИЗОЛ.ПЛ., 10А, 250В, ЯСЕНЬ",BLNVA101015,шт,,,,,,,,11,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,
83,"BLANCA О/У 1-клавишный ПЕРЕКЛЮЧАТЕЛЬ (сх.6) ИЗОЛ.ПЛ, 10А, 250В, АЛЮМИНИЙ",BLNVA106013,шт,,,,,,,,18,18,18,18,18,18,,,,,,,,,,,,,,,,,,,,
84,"BLANCA О/У 1-клавишный ПЕРЕКЛЮЧАТЕЛЬ (сх.6) ИЗОЛ.ПЛ, 10А, 250В, ТИТАН",BLNVA106014,шт,,,,,,,,22,22,22,22,22,22,,,,,,,,,,,,,,,,,,,,
85,"BLANCA О/У 1-клавишный ПЕРЕКЛЮЧАТЕЛЬ (сх.6) ИЗОЛ.ПЛ.,10А,250В,МОЛОЧНЫЙ",BLNVA106012,шт,,,,,,,,11,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,
86,"BLANCA О/У 2-клавишный ВЫКЛЮЧАТЕЛЬ (сх.5) ИЗОЛ.ПЛ., 10А, 250В, АЛЮМИНИЙ",BLNVA105013,шт,,,,,,,,60,60,60,60,60,60,,,,,,,,,,,,,,,,,,,,
87,"BLANCA О/У 2-клавишный ВЫКЛЮЧАТЕЛЬ (сх.5) ИЗОЛ.ПЛ., 10А, 250В, ТИТАН",BLNVA105014,шт,,,,,,,,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,
88,"BLANCA О/У 2-клавишный ВЫКЛЮЧАТЕЛЬ (сх.5) ИЗОЛ.ПЛ., 10А, 250В, ЯСЕНЬ",BLNVA105015,шт,,,,,,,,35,35,35,35,35,35,,,,,,,,,,,,,,,,,,,,
89,"BLANCA О/У РОЗЕТКА 3-ая без заземления без штор. ИЗОЛ.ПЛ., 16А, 250В, ЯСЕНЬ",BLNRA000315,шт,,,,,,,,60,60,60,60,60,60,,,,,,,,,,,,,,,,,,,,
90,"BLANCA О/У РОЗЕТКА 3-я с заземлением без штор. ИЗОЛ.ПЛ 16А, 250В, МОЛОЧНЫЙ",BLNRA010312,шт,,,,,,,,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,
91,"BLANCA О/У РОЗЕТКА 3-я с заземлением без штор. ИЗОЛ.ПЛ.,16А, 250В, АЛЮМИНИЙ",BLNRA010313,шт,,,,,,,,43,43,43,43,43,43,,,,,,,,,,,,,,,,,,,,
92,"BLANCA О/У РОЗЕТКА 3-я с заземлением без штор. ИЗОЛ.ПЛ.,16А, 250В, ТИТАН",BLNRA010314,шт,,,,,,,,26,26,26,26,26,26,,,,,,,,,,,,,,,,,,,,
93,"BLANCA О/У РОЗЕТКА 3-я с заземлением без шторок ИЗОЛ.ПЛ.,16А, 250В, ЯСЕНЬ",BLNRA010315,шт,,,,,,,,16,16,16,16,16,16,,,,,,,,,,,,,,,,,,,,
94,"BLANCA О/У РОЗЕТКА 4-ая без заземления без штор. ИЗОЛ.ПЛ.,16А, 250В, ЯСЕНЬ",BLNRA000415,шт,,,,,,,,38,38,38,38,38,38,,,,,,,,,,,,,,,,,,,,
95,"BLANCA О/У РОЗЕТКА двойная с заземл. без штор. ИЗОЛ.ПЛ.,16А, 250В, АЛЮМИНИЙ",BLNRA010213,шт,,,,,,,,47,47,47,47,47,47,,,,,,,,,,,,,,,,,,,,
96,"BLANCA О/У РОЗЕТКА двойная с заземл. без штор. ИЗОЛ.ПЛ.,16А, 250В, ЯСЕНЬ",BLNRA010215,шт,,,,,,,,24,24,24,24,24,24,,,,,,,,,,,,,,,,,,,,
97,"BLANCA О/У РОЗЕТКА компьютерная RJ45, кат.5E, ИЗОЛ.ПЛ.,АЛЮМИНИЙ",BLNIA045003,шт,,,,,,,,26,26,26,26,26,26,,,,,,,,,,,,,,,,,,,,
98,"BLANCA О/У РОЗЕТКА с заземлением без шторок,(КОМПАКТ) ИЗОЛ.ПЛ. 16А, 250В, ЯСЕНЬ",BLNRA110115,шт,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
99,Blanca Переключатель 1кл. бел. С/У 10А 250B BLNVS010601,300200410_,шт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Blanca Розетка с/у двойная RJ11+ RJ45 кат 5Е бел. BLNIS045111,300200351_,шт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"Blanca Силовой Комплект О/У 2К+3 32А, 250В розетка, вилка, подъем.коробка",300200413_,шт,1,,,22,52,36,26,55,26,4,51,58,24,56,61,49,90,91,77,86,69,63,43,55,40,31,36,51,46,33,36,28,29
102,"Blanca Силовой Комплект С/У 2К+3 32А, 250В розетка, вилка, монт.коробка",300200412_,шт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,City  9 ЩРВ-П 12 Прозрач./дв. Systeme Electric,010400436_,шт,34,8,5,134,458,400,319,406,306,237,205,213,296,278,298,585,538,510,432,348,315,266,205,230,217,196,190,181,151,129,109,84,67
104,City 9 ЩРВ-П  8 Прозрач./дв. Systeme Electric,010400432_,шт,9,9,52,95,208,204,176,129,35,114,85,115,114,108,129,197,184,176,169,164,146,145,133,128,126,118,117,111,105,101,93,87,84
105,City 9 ЩРВ-П 18 Прозрач./дв. Systeme Electric,010400440_,шт,18,9,6,81,281,219,188,305,236,206,138,143,173,166,170,130,254,213,173,151,128,150,133,146,124,104,86,100,82,65,42,45,46
106,City 9 ЩРВ-П 24 Прозрач./дв. Systeme Electric,010400444_,шт,86,13,11,142,624,509,376,559,406,382,311,388,419,404,454,353,749,647,543,429,354,420,392,418,378,340,280,272,222,167,114,132,90
107,City 9 ЩРВ-П 36 Прозрач./дв. Systeme Electric,010400447_,шт,49,3,112,160,501,427,324,450,312,334,265,342,348,371,356,699,603,530,482,392,311,346,296,282,248,220,183,150,127,79,39,10,76
108,City 9 ЩРН-П  8 Прозрач./дв. Systeme Electric,010400433_,шт,5,1,59,96,188,146,130,182,131,65,33,105,202,172,161,320,308,303,292,274,206,212,203,197,185,182,180,176,166,157,149,138,65
109,City 9 ЩРН-П 12 Прозрач./дв. Systeme Electric,010400437_,шт,3,1,1,102,255,199,159,300,208,127,109,152,220,201,214,434,413,362,327,267,219,166,152,154,147,123,110,120,125,112,78,81,63
110,City 9 ЩРН-П 18 Прозрач./дв. Systeme Electric,010400441_,шт,1,1,1,59,150,118,95,144,104,135,3,187,133,107,147,297,275,262,244,227,193,177,164,135,113,105,90,73,59,42,29,55,38
111,City 9 ЩРН-П 24 Прозрач./дв. Systeme Electric,010400445_,шт,15,1,59,95,214,186,163,190,116,102,45,115,128,139,166,287,239,211,163,154,140,146,104,140,119,99,110,97,91,75,59,64,39
112,City 9 ЩРН-П 36 Прозрач./дв. Systeme Electric,010400448_,шт,20,3,1,41,193,157,131,186,133,98,98,108,96,81,134,206,171,150,124,104,112,113,76,93,71,59,53,62,59,49,36,27,27
113,"G001 Роз. с з/к 16А механизм ""ARTGALLERY"" алюминий GAL0343 (10)",300200784_,шт,,,,,,,,,475,286,209,404,221,447,369,439,618,565,525,455,401,345,279,331,330,330,326,266,261,261,260,203,116
114,"G002 Выкл. 1 кл 10А ""ARTGALLERY"" алюминий GAL0311 (10)",300200785_,шт,,,,,,,,,126,38,151,376,327,265,250,249,246,232,212,195,172,175,163,155,154,154,152,161,158,158,158,173,166
