Номенклатура,Номенклатура.Код,Артикул,Кратность,янв. 2024,февр. 2024,март 2024,апр. 2024,май 2024,июнь 2024,июль 2024,авг. 2024,сент. 2024,окт. 2024,нояб. 2024,дек. 2024,янв. 2025,февр. 2025,март 2025,апр. 2025,май 2025,июнь 2025,июль 2025,авг. 2025,сент. 2025,окт. 2025,нояб. 2025,дек. 2025,янв. 2026,февр. 2026,март 2026,апр. 2026,май 2026,июнь 2026,июль 2026,авг. 2026,сент. 2026,Итого
"G067 Рамка 5-ная ""ARTGALLERY"" лотос GAL1305 (5)",300200850_,GAL001305,5,,,,,,,,10,35,10,12,3,3,,-9,5,2,6,-3,-9,-10,,,,,2,-7,,,,,1,,51
"G068 Переключ. 2 кл механизм ""ARTGALLERY"" лотос GAL1365 (5)",300200851_,GAL001365,5,,,,,,,,,,,,46,13,16,6,31,26,13,6,4,2,1,,,4,9,-1,,3,7,5,20,4,215
"G069 Выкл. 1 кл кнопочный 10А механизм ""ARTGALLERY"" лотос GAL1315 (5)",300200852_,GAL001315,5,,,,,,,,6,20,10,,,5,,,,6,-5,3,-10,-5,5,15,5,,,-5,,,,,,,50
"G070 Вывод кабеля механизм ""ARTGALLERY"" лотос GAL1399 (5)",300200853_,GAL001399,5,,,,,,,,5,11,,20,1,6,2,4,8,,8,1,-3,-1,5,,,,,-6,,1,,,22,,84
"G071 Роз. 2-ная TV комп. RJ45 5Е ""ARTGALLERY"" лотос GAL1389 (5)",300200854_,GAL001389,5,,,,,,,,6,25,,6,3,,5,-10,5,,1,-10,-5,-5,,,,,,-1,,,,,,,20
"G072 Роз. USB A+C 45Вт высокоскор.заряд., механизм ""ARTGALLERY"" лотос GAL1329 (1)",300200855_,GAL001329,1,,,,,,,,,,,1,,6,3,,,,4,,,,,,,,,,,,,,,,14
"G073 Роз. с з/к 16А механизм ""ARTGALLERY"" карбон GAL1043 (5)",300200856_,GAL001043,5,,,,,,,,14,627,197,379,662,293,690,1011,337,226,275,185,100,193,88,249,124,91,75,-51,34,246,276,496,-7,241,7051
"G074 Выкл. 1 кл 10А ""ARTGALLERY"" карбон GAL1011 (5)",300200857_,GAL001011,5,,,,,,,,14,211,36,148,92,46,75,72,155,55,62,33,15,60,7,39,24,13,13,-39,9,47,79,135,10,40,1451
"G075 Выкл. 1 кл с инд 10А механизм ""ARTGALLERY"" карбон GAL1013 (5)",300200858_,GAL001013,5,,,,,,,,10,21,17,10,2,3,27,20,10,1,,4,6,-8,-8,,,,,-12,,,,,,3,106
"G076 Выкл. 2 кл 10А механизм ""ARTGALLERY"" карбон GAL1051 (5)",300200859_,GAL001051,5,,,,,,,,10,226,97,37,102,39,95,59,120,12,35,43,-11,31,37,40,14,19,7,-12,7,16,60,55,9,27,1174
"G077 Выкл. 2 кл с инд 10А механизм ""ARTGALLERY"" карбон GAL1053 (5)",300200860_,GAL001053,5,,,,,,,,5,24,20,30,,12,11,5,10,,,10,-5,2,-8,,,,,-16,,10,,,,1,111
"G078 Роз. комп. RJ45 6A механизм ""ARTGALLERY"" карбон GAL1086 (5)",300200861_,GAL001086,5,,,,,,,,,,18,8,17,24,38,28,9,5,32,12,7,15,7,14,22,2,13,-12,3,56,18,35,2,17,390
"G079 Переключ. 1 кл механизм ""ARTGALLERY"" карбон GAL1061 (5)",300200862_,GAL001061,5,,,,,,,,5,83,22,29,10,28,48,31,35,15,32,16,-7,11,-9,8,22,,2,-7,,4,23,45,10,17,473
"G080 Перекрест. переключ. 1 кл ""ARTGALLERY"" карбон GAL1071 (5)",300200863_,GAL001071,5,,,,,,,,,26,25,13,6,6,23,-3,8,2,19,,-5,1,-3,7,,,3,-13,,,7,18,2,3,145
"G081 Роз. 2-ная комп. RJ45+RJ45 6A механизм ""ARTGALLERY"" карбон GAL1088 (1)",300200864_,GAL001088,1,,,,,,,,3,7,19,,12,,,1,,2,2,,-3,-3,,2,,,1,,,,,1,,1,45
"G082 Роз. с з/к с/ш 16А механизм ""ARTGALLERY"" карбон GAL1045 (5)",300200865_,GAL001045,5,,,,,,,,10,138,20,,1,2,3,,37,60,70,19,-56,9,107,7,,,,7,,,92,138,4,65,733
"G083 Роз. с з/к с/ш с крышкой 16А механизм IP20 ""ARTGALLERY"" карбон GAL1046 (5)",300200866_,GAL001046,5,,,,,,,,,30,17,15,7,2,13,26,,,1,,-8,2,-4,,,,,-7,,,,7,3,,104
"G084 Роз. TV оконечная механизм ""ARTGALLERY"" карбон GAL1091 (5)",300200867_,GAL001091,5,,,,,,,,,,20,8,4,,4,7,5,3,10,,,-6,-3,1,1,,,-8,,,,4,,,50
"G085 Рамка 1-ная ""ARTGALLERY"" карбон GAL1001 (10)",300200868_,GAL001001,10,,,,,,,,34,402,117,236,197,168,279,220,271,113,152,66,39,136,163,138,32,22,25,-61,49,88,164,259,12,59,3380
"G086 Рамка 2-ная ""ARTGALLERY"" карбон GAL1002 (5)",300200869_,GAL001002,5,,,,,,,,30,204,61,102,137,113,180,138,141,50,90,71,29,38,15,104,47,23,28,-25,7,65,126,137,,55,1966
"G087 Рамка 3-ная ""ARTGALLERY"" карбон GAL1003 (5)",300200870_,GAL001003,5,,,,,,,,20,125,35,67,63,38,80,54,57,30,39,18,11,,29,41,13,9,5,-15,8,26,36,99,2,39,929
"G088 Рамка 4-ная ""ARTGALLERY"" карбон GAL1004 (5)",300200871_,GAL001004,5,,,,,,,,10,66,16,15,32,9,40,13,12,2,23,14,-3,3,4,22,14,5,2,-8,,9,11,34,,18,363
"G089 Рамка 5-ная ""ARTGALLERY"" карбон GAL1005 (5)",300200872_,GAL001005,5,,,,,,,,10,35,10,21,7,5,12,-8,,2,10,1,-5,-10,-3,1,1,2,2,-10,,,,11,,2,96
G090 Переключ. 2 кл механизм карбон GAL1065 (5),300200873_,GAL001065,5,,,,,,,,5,71,69,4,45,26,47,13,24,7,110,9,9,1,22,19,20,2,4,-8,2,10,15,54,3,11,594
"G091 Диммер поворотно-нажимной механизм 400Вт ""ARTGALLERY"" карбон GAL1023 (1)",300200874_,GAL001023,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
"G092 Роз. с з/к с/ш с крышкой 16А механизм IP44 ""ARTGALLERY"" карбон GAL441046 (5)",300200875_,GAL441046,5,,,,,,,,,32,4,4,26,,7,6,1,5,9,,10,2,2,4,,,,,1,10,,13,4,,140
"G093 Рамка 1-ная IP44 ""ARTGALLERY"" карбон GAL441001 (5)",300200876_,GAL441001,5,,,,,,,,,,,,3,,1,,1,6,,,,,,,,,,,,,,3,,4,18
"G094 Рамка 2-ная IP44 ""ARTGALLERY"" карбон GAL441002 (5)",300200877_,GAL441002,5,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,3
"G095 Выкл. 1 кл кнопочный 10А механизм ""ARTGALLERY"" карбон GAL1015 (5)",300200878_,GAL001015,5,,,,,,,,,,,,,5,,,,,8,,1,22,,,,,,1,,,,2,,,39
"G096 Вывод кабеля механизм ""ARTGALLERY"" карбон    GAL1099 (5)",300200879_,GAL001099,5,,,,,,,,5,30,11,10,9,3,6,2,2,1,5,2,3,-5,4,3,3,,2,,,,2,14,4,,116
"G097 Роз. 2-ная TV комп. RJ45 5Е ""ARTGALLERY"" карбон GAL1089 (5)",300200880_,GAL001089,5,,,,,,,,,4,19,15,,,10,-5,2,,,,,-2,-5,,,3,,-10,,,,,,,31
"G098 Роз. USB A+C 45Вт высокоскор.заряд., механизм ""ARTGALLERY"" карбон GAL1029 (1)",300200881_,GAL001029,1,,,,,,,,,,,3,,2,7,,,7,2,1,3,,2,,1,,,,,,,3,,3,34
"G099 Рамка 1-ная ""ARTGALLERY"" золото GAL1601 (5)",300200882_,GAL001601,10,,,,,,,,14,21,33,35,,13,16,4,36,29,,,,-10,,,1,,,1,,,,4,38,,235
"G100 Рамка 2-ная ""ARTGALLERY"" золото GAL1602 (5)",300200883_,GAL001602,5,,,,,,,,10,21,26,3,,4,4,,4,34,3,,,-10,2,,,,,,,,,,14,,115
"G101 Рамка 3-ная ""ARTGALLERY"" золото GAL1603 (5)",300200884_,GAL001603,5,,,,,,,,10,,9,,,3,2,,10,3,,,,-10,,,,,,,,,,1,3,,31
"G102 Рамка 4-ная ""ARTGALLERY"" золото GAL1604 (5)",300200885_,GAL001604,5,,,,,,,,10,2,10,,,,,,2,3,,,,-10,,,,,,,,,,1,,,18
"G103 Рамка 5-ная ""ARTGALLERY"" золото GAL1605 (5)",300200886_,GAL001605,5,,,,,,,,10,,,,,,,,1,1,,,,-10,,,,,,,,,,,,,2
"G104 Роз. с з/к 16А механизм ""ARTGALLERY"" сталь GAL0943 (5)",300200887_,GAL000943,5,,,,,,,,4,87,35,62,27,35,19,10,3,,105,2,122,,69,84,33,77,39,34,,64,50,68,1,,1030
"G105 Выкл. 1 кл 10А ""ARTGALLERY"" сталь GAL0911 (5)",300200888_,GAL000911,5,,,,,,,,,,16,23,7,10,24,1,,,10,,1,,12,20,4,7,9,28,2,10,10,4,,20,218
"G106 Выкл. 1 кл с инд механизм ""ARTGALLERY"" сталь GAL0913 (5)",300200889_,GAL000913,5,,,,,,,,,5,1,,,,,,,,,,,,,,1,,,,,,,,,,7
"G107 Выкл. 2 кл 10А механизм ""ARTGALLERY"" сталь GAL0951 (5)",300200890_,GAL000951,5,,,,,,,,,24,20,24,7,2,4,,,1,6,,,,10,10,6,9,8,11,,8,4,2,,24,180
"G109 Роз. комп. RJ45 6A механизм ""ARTGALLERY"" сталь GAL0986 (5)",300200892_,GAL000986,5,,,,,,,,,10,10,8,,3,,,,,8,,7,,4,2,1,4,2,2,,,2,,,5,68
"G110 Переключ. 1 кл механизм ""ARTGALLERY"" сталь GAL0961 (5)",300200893_,GAL000961,5,,,,,,,,,10,14,4,4,4,,,,,3,,2,,2,4,,8,,,2,4,,,1,4,66
"G111 Перекрест. переключ. 1 кл ""ARTGALLERY"" сталь GAL0971 (5)",300200894_,GAL000971,5,,,,,,,,,,,1,,5,,,,,2,,,,,2,3,,,,,,,,,5,18
"G112 Роз. 2-ная комп. RJ45+RJ45 6А механизм ""ARTGALLERY"" сталь GAL0988 (1)",300200895_,GAL000988,1,,,,,,,,,,12,,3,,,,,,,,,,,,,6,,,,,,,,,21
"G113 Роз. с з/к с/ш 16А механизм ""ARTGALLERY"" сталь GAL0945 (5)",300200896_,GAL000945,5,,,,,,,,,10,12,57,,,21,,,,,,,,,,,7,,,,,,,,103,210
"G114 Роз. TV оконечная механизм ""ARTGALLERY"" сталь GAL0991 (5)",300200897_,GAL000991,5,,,,,,,,,11,,3,,,,,,,,,,,,1,,,,,,,,,,,15
"G115 Рамка 1-ная ""ARTGALLERY"" сталь GAL0901 (10)",300200898_,GAL000901,10,,,,,,,,4,42,15,44,18,25,28,-15,6,1,11,1,19,7,23,15,36,59,26,70,2,23,16,29,1,73,579
"G116 Рамка 2-ная ""ARTGALLERY"" сталь GAL0902 (5)",300200899_,GAL000902,5,,,,,,,,,29,12,28,7,10,11,-1,24,,25,,45,5,23,12,24,25,8,19,,20,11,22,1,22,382
"G117 Рамка 3-ная ""ARTGALLERY"" сталь GAL0903 (5)",300200900_,GAL000903,5,,,,,,,,,13,15,12,2,6,13,-1,3,,5,,,,8,7,6,6,4,4,,3,4,2,,14,126
"G118 Рамка 4-ная ""ARTGALLERY"" сталь GAL0904 (5)",300200901_,GAL000904,5,,,,,,,,,11,11,5,5,1,,,1,,12,,5,,1,2,2,1,,2,,3,,,,2,64
"G119 Рамка 5-ная ""ARTGALLERY"" сталь GAL0905 (5)",300200902_,GAL000905,5,,,,,,,,,11,10,,,3,1,-1,,,,,,,,1,,2,,,,,,,,,27
"G120 Переключ. 2 кл механизм ""ARTGALLERY"" сталь GAL0965 (5)",300200903_,GAL000965,5,,,,,,,,,10,10,2,8,6,,,,,8,1,,,,2,2,,,2,,,,,,2,53
"G121 Выкл. 1 кл кнопочный 10А механизм ""ARTGALLERY"" сталь GAL0915 (5)",300200904_,GAL000915,5,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,4
"G122 Вывод кабеля механизм ""ARTGALLERY"" сталь    GAL0999 (5)",300200905_,GAL000999,5,,,,,,,,,,,,2,,,,,,8,,,,,2,,,,2,,,,,,,14
"G123 Роз. 2-ная TV комп. RJ45 5Е ""ARTGALLERY"" сталь GAL0989 (5)",300200906_,GAL000989,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
"G124 Роз. USB A+C 45Вт высокоскор.заряд., механизм ""ARTGALLERY"" сталь GAL0929 (1)",300200907_,GAL000929,1,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,,,6
"G125 Диммер поворотно-нажимной механизм 400Вт ""ARTGALLERY"" сталь GAL0923 (1)",300200908_,GAL000923,1,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,8
"G126 Роз. с з/к с/ш с крышкой 16А механизм IP20 ""ARTGALLERY"" сталь GAL0946 (5)",300200909_,GAL000946,5,,,,,,,,,10,10,3,2,,,,,,2,,1,,,4,,,,4,,,,,,,36
"G127 Роз. с з/к 16А механизм ""ARTGALLERY"" мокко GAL0643 (10)",300200910_,GAL000643,10,,,,,,,,24,224,43,121,71,185,129,187,303,10,135,270,287,46,218,139,88,4,130,11,66,93,138,42,9,50,3023
"G128 Роз. с з/к с/ш 16А механизм ""ARTGALLERY"" мокко GAL0645 (10)",300200911_,GAL000645,10,,,,,,,,,10,10,,,,,1,,,,,75,,9,,,,,,,,3,,,,108
"G129 Выкл. 1 кл 10А ""ARTGALLERY"" мокко GAL0611 (10)",300200912_,GAL000611,10,,,,,,,,24,37,15,58,25,13,16,37,11,,9,,90,-17,39,13,6,1,28,-10,5,29,20,11,,11,471
"G130 Выкл. 1 кл с инд 10А механизм ""ARTGALLERY"" мокко GAL0613 (10)",300200913_,GAL000613,10,,,,,,,,10,10,10,20,,,,1,,,,,,-10,,,,,,-17,,,4,,6,,34
"G131 Выкл. 2 кл 10А механизм ""ARTGALLERY"" мокко GAL0651 (10)",300200914_,GAL000651,10,,,,,,,,20,58,15,34,8,39,28,16,46,,,,41,2,35,36,4,,10,-4,15,12,27,4,,4,450
"G132 Выкл. 2 кл с инд 10А механизм ""ARTGALLERY"" мокко GAL0653 (10)",300200915_,GAL000653,10,,,,,,,,10,10,10,20,,,,,,,,,,-10,1,,,,,-18,,,,,,,23
"G133 Роз. комп. RJ45 6A механизм, ""ARTGALLERY"" мокко GAL0686 (5)",300200916_,GAL000686,5,,,,,,,,6,11,12,12,,6,,1,6,,3,,30,-5,7,,,,11,-3,17,8,6,,,3,131
"G134 Переключ. 1 кл механизм ""ARTGALLERY"" мокко GAL0661 (10)",300200917_,GAL000661,10,,,,,,,,10,14,10,10,2,14,,11,20,,10,,33,-10,10,10,4,,5,-8,2,,14,,4,,165
"G135 Перекрест. переключ. 1 кл ""ARTGALLERY"" мокко GAL0671 (5)",300200918_,GAL000671,5,,,,,,,,5,13,10,,,3,,,,,,2,6,-5,2,2,,,3,,,,4,,,,45
"G136 Роз. 2-ная комп. RJ45+RJ45 6А механизм ""ARTGALLERY"" мокко GAL0688 (1)",300200919_,GAL000688,1,,,,,,,,3,,,,,5,,,,,1,,,-3,,,,,,4,6,3,,,,,19
"G137 Роз. TV оконечная механизм ""ARTGALLERY"" мокко GAL0691 (5)",300200920_,GAL000691,5,,,,,,,,5,12,,7,,1,14,,,,,5,3,-5,3,1,1,,,-5,,,,,1,,43
"G138 Рамка 1-ная ""ARTGALLERY"" мокко GAL0601 (20)",300200921_,GAL000601,20,,,,,,,,34,81,48,158,92,81,73,63,133,20,98,35,277,15,117,27,70,5,73,-28,28,29,91,10,14,32,1676
"G139 Рамка 2-ная ""ARTGALLERY"" мокко GAL0602 (10)",300200922_,GAL000602,10,,,,,,,,30,42,27,71,14,74,4,53,126,10,5,1,73,-15,56,15,2,,28,-10,23,22,71,16,3,32,773
"G140 Рамка 3-ная ""ARTGALLERY"" мокко GAL0603 (5)",300200923_,GAL000603,5,,,,,,,,20,27,25,23,2,20,31,16,41,6,3,55,27,-18,30,4,20,10,2,,2,,12,,4,17,379
"G141 Рамка 4-ная ""ARTGALLERY"" мокко GAL0604 (5)",300200924_,GAL000604,5,,,,,,,,10,12,14,10,3,3,4,5,2,3,2,,22,,9,,1,,10,-2,,2,9,2,,4,125
"G142 Рамка 5-ная ""ARTGALLERY"" мокко GAL0605 (5)",300200925_,GAL000605,5,,,,,,,,10,13,11,10,1,,,,,,1,,,-10,1,,,,6,-8,,,,,,,35
"G143 Переключ. 2 кл механизм ""ARTGALLERY"" мокко GAL0665 (10)",300200926_,GAL000665,10,,,,,,,,10,13,,10,1,31,3,11,36,,15,5,11,-10,16,,,,,-9,,12,26,2,,10,193
"G144 Выкл. 1 кл кнопочный 10А механизм ""ARTGALLERY"" мокко GAL0615 (5)",300200927_,GAL000615,5,,,,,,,,6,,1,10,,,,,,,,,,-5,12,,,,20,-8,,,,,,,36
"G145 Вывод кабеля механизм ""ARTGALLERY"" мокко GAL0699 (5)",300200928_,GAL000699,5,,,,,,,,,,,3,,10,,2,2,,,,,,1,,,,,-4,,1,,,2,4,21
"G146 Роз. 2-ная TV комп. RJ45 5Е ""ARTGALLERY"" мокко GAL0689 (5)",300200929_,GAL000689,5,,,,,,,,6,2,,10,,1,,,,,1,,,-5,,,,,,-9,,,,,,,6
"G147 Роз. USB A+C 45Вт высокоскор.заряд., механизм ""ARTGALLERY"" мокко GAL0629 (1)",300200930_,GAL000629,1,,,,,,,,,9,,,,,2,,,,,,,,,1,,,,,,,7,,,,19
"G148 Диммер поворотно-нажимной механизм 400Вт ""ARTGALLERY"" мокко GAL0623 (1)",300200931_,GAL000623,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,6,,9
"G149 Роз. с з/к с/ш с крышкой 16А механизм IP20 ""ARTGALLERY"" мокко GAL0646 (10)",300200932_,GAL000646,10,,,,,,,,10,10,10,,,15,,5,47,,3,,,-10,2,,,,2,-5,,,,,,,89
"G150 Роз. с з/к 16А механизм ""ARTGALLERY"" базальт GAL1443 (5)",300200933_,GAL001443,5,,,,,,,,4,106,38,252,193,243,219,254,432,69,78,111,156,144,32,17,20,45,45,41,170,65,151,108,211,44,3248
"G151 Выкл. 1 кл 10А ""ARTGALLERY"" базальт GAL1411 (5)",300200934_,GAL001411,5,,,,,,,,4,45,24,40,25,30,17,49,48,6,5,36,38,38,15,6,16,14,5,4,30,15,15,25,61,,611
"G152 Выкл. 1 кл с инд 10А механизм ""ARTGALLERY"" базальт GAL1413 (5)",300200935_,GAL001413,5,,,,,,,,,10,10,3,1,16,3,,,,,,,,,,,,,,,,,,2,,45
"G153 Выкл. 2 кл 10А механизм ""ARTGALLERY"" базальт GAL1451 (5)",300200936_,GAL001451,5,,,,,,,,,26,18,79,21,1,37,77,29,8,36,22,16,17,13,2,1,17,4,6,29,11,21,4,22,1,518
"G154 Выкл. 2 кл с инд 10А механизм ""ARTGALLERY"" базальт GAL1453 (5)",300200937_,GAL001453,5,,,,,,,,,11,10,1,,18,10,,,,,,,,,,,,,,,,,,1,,51
"G155 Роз. комп. RJ45 6A механизм ""ARTGALLERY"" базальт GAL1486 (5)",300200938_,GAL001486,5,,,,,,,,,,4,5,5,21,11,4,16,,,5,12,7,2,,,7,2,4,3,,10,,10,,128
"G156 Переключ. 1 кл механизм ""ARTGALLERY"" базальт GAL1461 (5)",300200939_,GAL001461,5,,,,,,,,,14,10,11,4,1,,20,,,27,9,14,9,4,3,,12,3,2,2,2,8,,19,2,176
"G157 Перекрест. переключ. 1 кл ""ARTGALLERY"" базальт GAL1471 (5)",300200940_,GAL001471,5,,,,,,,,,10,10,4,,,2,6,1,,,,3,,,2,,,6,,,,2,,4,,50
"G158 Роз. 2-ная комп. RJ45+RJ45 6A механизм ""ARTGALLERY"" базальт GAL1488 (1)",300200941_,GAL001488,1,,,,,,,,,,2,,,3,2,,,,,1,,,,,2,,18,,,,,,,,28
"G159 Роз. с з/к с/ш 16А механизм ""ARTGALLERY"" базальт GAL1445 (5)",300200942_,GAL001445,5,,,,,,,,,10,76,35,,116,20,,29,,,65,,,2,2,100,80,,,,,54,4,20,,613
"G160 Роз. с з/к с/ш с крышкой 16А механизм IP20 ""ARTGALLERY"" базальт GAL1446 (5)",300200943_,GAL001446,5,,,,,,,,,11,12,11,17,,2,,10,2,5,7,2,6,4,2,,,,,11,,4,,8,,114
"G161 Роз. TV оконечная 1DB механизм ""ARTGALLERY"" базальт GAL1491 (5)",300200944_,GAL001491,5,,,,,,,,,10,,,,3,,,,,,1,,2,,,,4,1,,,,,,,,21
"G162 Рамка 1-ная ""ARTGALLERY"" базальт GAL1401 (10)",300200945_,GAL001401,10,,,,,,,,,49,72,149,76,68,86,113,172,30,44,61,60,95,50,57,27,52,5,10,51,17,105,27,103,19,1598
"G163 Рамка 2-ная ""ARTGALLERY"" базальт GAL1402 (5)",300200946_,GAL001402,5,,,,,,,,,31,33,93,48,89,56,71,101,23,25,40,40,43,12,,58,25,15,11,27,17,32,24,79,4,997
"G164 Рамка 3-ная ""ARTGALLERY"" базальт GAL1403 (5)",300200947_,GAL001403,5,,,,,,,,,17,24,21,31,41,25,42,33,7,9,29,25,10,3,1,3,13,6,3,11,16,13,17,25,4,429
"G165 Рамка 4-ная ""ARTGALLERY"" базальт GAL1404 (5)",300200948_,GAL001404,5,,,,,,,,,12,12,11,6,17,9,10,4,,2,9,7,3,4,,1,8,1,3,7,,17,5,8,,156
"G166 Рамка 5-ная ""ARTGALLERY"" базальт GAL1405 (5)",300200949_,GAL001405,5,,,,,,,,,12,10,3,,2,1,1,,,,2,,,,,1,,1,,4,,1,,5,,43
"G167 Переключ. 2 кл механизм ""ARTGALLERY"" базальт GAL1465 (5)",300200950_,GAL001465,5,,,,,,,,,10,13,5,4,3,6,9,40,1,2,16,4,5,5,9,,8,,,6,2,10,,3,,161
"G168 Диммер поворотно-нажимной механизм 400Вт ""ARTGALLERY"" базальт GAL1423 (1)",300200951_,GAL001423,1,,,,,,,,,,,,,,,3,,,,,,5,,1,,1,,,,,,,,,10
"G169 Выкл. 1 кл кнопочный 10А механизм ""ARTGALLERY"" базальт GAL1415 (5)",300200952_,GAL001415,5,,,,,,,,,,,,,4,,,8,,,,,,,,,,,2,7,,1,,,,22
"G170 Вывод кабеля механизм ""ARTGALLERY"" базальт GAL1499 (5)",300200953_,GAL001499,5,,,,,,,,,,3,3,,10,,,1,,3,,,,4,,,2,2,,11,1,4,2,,,46
"G171 Роз. 2-ная TV комп. RJ45 5Е ""ARTGALLERY"" базальт GAL1489 (5)",300200954_,GAL001489,5,,,,,,,,,1,,,,18,1,,,,,2,,,,,,,,,,7,,,,,29
"G172 Роз. USB A+C 45Вт высокоскор.заряд., механизм ""ARTGALLERY"" базальт GAL1429 (1)",300200955_,GAL001429,1,,,,,,,,,4,,,,,,,,,,2,,,,,,,,,,,,,2,,8
"G384 Выкл 1 кл 10А с/у ""ATLAS"" жемчуг ATN412 (10)",300200371_,ATN000412,10,,21,87,24,58,24,36,36,8,15,42,-5,6,8,27,5,7,12,30,67,23,6,27,13,6,5,15,6,3,20,20,25,1,678
"G385 Выкл 1 кл с инд 10А с/у б/рамки ""ATLAS"" жемчуг ATN413 (10)",300200420_,ATN000413,10,,,22,-21,,,5,4,10,10,12,-13,3,,3,40,4,3,,1,10,3,6,7,,,,5,,20,,,1,135
"G386 Выкл 2 кл 10А с/у ""ATLAS"" жемчуг ATN452 (10)",300200375_,ATN000452,10,,61,49,-18,36,21,13,67,44,27,73,40,10,32,108,15,21,23,11,26,39,23,22,16,19,11,41,18,22,39,10,25,14,958
"G387 Выкл 2 кл с инд 10А с/у б/рамки ""ATLAS"" жемчуг ATN453 (10)",300200422_,ATN000453,10,,,10,-13,10,1,7,2,13,,10,-6,,,,7,1,2,,4,,3,2,2,,,,3,,23,1,,2,84
"G388 Выкл 3 кл 10А с/у б/рамки ""ATLAS"" жемчуг ATN431 (10)",300200363_,ATN000431,10,,,20,-4,22,11,7,13,14,14,13,-2,,2,12,1,1,11,,,,10,,,1,1,,2,2,3,,1,1,156
"G390 Комп. роз. RJ45 5Е механизм б/рамки ""ATLAS"" жемчуг ATN483 (10)",300200368_,ATN000483,5,,2,23,37,31,32,17,27,25,10,78,-20,4,10,23,16,7,19,5,20,15,7,6,3,4,3,8,2,14,4,1,1,2,436
"G391 Переключ. 1 кл 10А с/у б/рамки ""ATLAS"" жемчуг ATN461 (10)",300200367_,ATN000461,10,,42,47,11,29,36,7,36,26,9,4,1,6,8,24,18,,43,12,21,23,3,3,,2,,,7,24,,6,,,448
"G392 Переключ. 1 кл с инд 10А с/у б/рамки  ""ATLAS"" жемчуг ATN463 (10)",300200426_,ATN000463,10,,4,,,,2,5,,,,,2,,,,2,,,1,,,,,,,,,,,,,,6,22
"G393 Перекрест.переключ. 1 кл 10А с/у б/рамки ""ATLAS"" жемчуг ATN471 (5)",300200424_,ATN000471,5,4,1,20,10,2,1,,2,10,4,,-18,1,,,8,,1,,,1,,3,1,,,,1,1,,,,,53
"G394 Роз. 2-ная с/у 16А ""ATLAS"" жемчуг ATN420 (6)",300200372_,ATN000420,6,,135,33,-27,26,16,103,32,66,52,22,-2,26,20,3,17,12,36,61,25,53,2,,23,2,,,10,30,26,14,5,,821
"G395 Роз. 2-ная с/у 16А с з/к з/ш ""ATLAS"" жемчуг ATN426 (6)",300200373_,ATN000426,6,,115,20,-80,27,26,24,17,19,85,82,29,33,25,64,-2,7,15,2,3,7,17,,1,25,15,,39,4,40,19,-1,2,679
"G397 Роз. RJ45+RJ45 5Е кат 5Е механизм б/рамки ""ATLAS"" жемчуг ATN485 (10)",300200418_,ATN000485,10,,,10,10,,,,4,,1,31,-20,,,,2,,,4,,11,,1,2,1,,,,,,,,,57
"G398 Роз. с з/к 16А с/у б/рамки ""ATLAS"" жемчуг ATN443 (10)",300200365_,ATN000443,10,,185,623,680,729,482,596,532,407,182,779,355,130,424,654,452,360,480,329,72,194,287,79,171,130,72,194,117,137,424,152,176,109,10693
"G3988 Роз. без з/к без с/ш 16А б/рамки ""ATLAS"" жемчуг ATN441 (10) NEW",300200364_,ATN000441,10,,,,3,30,34,115,34,123,25,26,71,33,7,32,23,,72,76,67,37,,39,3,6,,,29,,,,,,885
"G399 Роз. с з/к 16А с/у з/ш ""ATLAS"" жемчуг ATN444 (10)",300200374_,ATN000444,10,,35,,8,34,92,,26,22,1,7,9,3,,14,17,,,30,59,,2,100,12,,1,,2,50,,50,3,20,597
"G401 ТV роз. оконечная с/у б/рамки ""ATLAS"" жемчуг ATN491  (10)",300200370_,ATN000491,10,,,11,20,3,,,4,2,2,1,-7,2,1,5,2,,1,,3,1,,3,1,,,,,,,,2,,57
"G402 Телефонная роз. RJ11 механизм б/рамки ""ATLAS"" жемчуг ATN481 (10)",300200425_,ATN000481,5,2,,,,,,,,10,,,,,,,,,5,,1,,,,,,,,1,,,,,,19
"G404 USB розетка - 2 порта с/у б/рамки ""ATLAS"" жемчуг ATN433 (1) !!!",300200419_,ATN000433,1,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,3
"G405 Рамка 1-ная ""ATLAS"" жемчуг  ATN401 (20)",300200376_,ATN000401,20,52,218,164,37,375,277,393,385,297,303,369,253,53,317,277,96,153,299,250,52,193,46,34,54,97,51,102,88,56,254,108,136,50,5889
"G406 Рамка 2-ная ""ATLAS"" жемчуг ATN402 (10)",300200377_,ATN000402,10,4,23,149,9,194,103,140,155,104,35,136,87,13,124,241,130,125,136,59,58,65,64,94,54,51,28,71,26,54,66,55,29,36,2718
