tree,node,depth,count,is_leaf,feature,condition,left,right,missing_go_to_left,value,threshold,left_categories
3,4,3,11662,False,category,"category in ['0104', '0201', '0203', '0811', '1201', '1306', '1510', '2403', '2502', '2506', '2704', '2802', '2901', '2902']",5.0,6.0,False,-0.4919465387251542,,"[""0104"", ""0201"", ""0203"", ""0811"", ""1201"", ""1306"", ""1510"", ""2403"", ""2502"", ""2506"", ""2704"", ""2802"", ""2901"", ""2902""]"
3,5,4,1294,True,,leaf,,,False,-0.019485795454545457,,[]
3,6,4,10368,True,,leaf,,,False,-0.019485795454545457,,[]
3,7,2,8395,False,nonzero_12,nonzero_12 <= 0.208333,8.0,9.0,False,-0.19881023200475909,0.20833333333333331,[]
3,8,3,3247,True,,leaf,,,False,-0.019485795454545457,,[]
3,9,3,5148,True,,leaf,,,False,-0.019485795454545457,,[]
3,10,1,55389,False,lag_1,lag_1 <= 0.421053,11.0,16.0,False,0.23525695409664435,0.42105263157894735,[]
3,11,2,16819,False,lag_1,lag_1 <= 0,12.0,15.0,True,-0.027393190326222592,0.0,[]
3,12,3,9125,False,month_sin,month_sin <= 0.25,13.0,14.0,True,-0.14526546250684183,0.25000000000000006,[]
3,13,4,4620,True,,leaf,,,False,-0.0012636496700021316,,[]
3,14,4,4505,True,,leaf,,,False,-0.01990084196360829,,[]
3,15,3,7694,True,,leaf,,,False,0.005682553451623872,,[]
3,16,2,38570,False,log_scale,log_scale <= 3.70233,17.0,24.0,True,0.3497667185069984,3.702330251838059,[]
3,17,3,25205,False,month_sin,month_sin <= -6.12323e-17,18.0,21.0,True,0.23267896093595083,-6.123233995736766e-17,[]
3,18,4,14552,False,mean_6,mean_6 <= 1.28342,19.0,20.0,False,0.3845625600879,1.2834224598930482,[]
3,19,5,5772,True,,leaf,,,False,0.012937011234202343,,[]
3,20,5,8780,True,,leaf,,,False,0.03951024851038026,,[]
3,21,4,10653,False,nonzero_12,nonzero_12 <= 0.791667,22.0,23.0,False,0.025039857450998782,0.7916666666666667,[]
3,22,5,4680,True,,leaf,,,False,-0.01041693373909397,,[]
3,23,5,5973,True,,leaf,,,False,0.006321497926357287,,[]
3,24,3,13365,False,month_sin,month_sin <= -6.12323e-17,25.0,26.0,True,0.5702429906542056,-6.123233995736766e-17,[]
3,25,4,7128,True,,leaf,,,False,0.035356362492462635,,[]
3,26,4,6237,False,cv_12,cv_12 <= 0.514419,27.0,28.0,False,0.41443893068672966,0.5144192097652285,[]
3,27,5,3109,True,,leaf,,,False,0.012734698933052053,,[]
3,28,5,3128,True,,leaf,,,False,0.008515294425317968,,[]
4,0,0,86094,False,nonzero_12,nonzero_12 <= 0.375,1.0,10.0,False,0.0,0.375,[]
4,1,1,30705,False,mean_6,mean_6 <= 1.05124,2.0,7.0,True,-0.47960279993488525,1.0512417478780258,[]
4,2,2,22310,False,mean_6,mean_6 <= 0.166667,3.0,4.0,False,-0.585752688172043,0.16666666666666666,[]
4,3,3,10648,True,,leaf,,,False,-0.01851150568181818,,[]
4,4,3,11662,False,category,"category in ['0104', '0201', '0203', '0811', '1201', '1306', '1510', '2403', '2502', '2506', '2704', '2802', '2901', '2902']",5.0,6.0,False,-0.4919465387251542,,"[""0104"", ""0201"", ""0203"", ""0811"", ""1201"", ""1306"", ""1510"", ""2403"", ""2502"", ""2506"", ""2704"", ""2802"", ""2901"", ""2902""]"
4,5,4,1294,True,,leaf,,,False,-0.01851150568181818,,[]
4,6,4,10368,True,,leaf,,,False,-0.01851150568181818,,[]
4,7,2,8395,False,nonzero_12,nonzero_12 <= 0.208333,8.0,9.0,False,-0.19714455681142176,0.20833333333333331,[]
4,8,3,3247,True,,leaf,,,False,-0.01851150568181818,,[]
4,9,3,5148,True,,leaf,,,False,-0.01851150568181818,,[]
4,10,1,55389,False,lag_1,lag_1 <= 0.421053,11.0,18.0,False,0.22460694236358056,0.42105263157894735,[]
4,11,2,16819,False,lag_2,lag_2 <= 0.0297521,12.0,13.0,False,-0.026204765583219443,0.02975206611570248,[]
4,12,3,4316,True,,leaf,,,False,-0.018905799865427873,,[]
