trees,train_scaled_mae,future_scaled_mae
75,0.9623600554573022,0.8388896682185162
76,0.9621313201755627,0.8389299007711882
77,0.9618927670305483,0.8391681987251586
78,0.9616783740610573,0.839477872390372
79,0.9615188378930902,0.8394591854527881
80,0.9613028026648325,0.8399913242742163
81,0.9611572921937709,0.8398970990161152
82,0.9608816144477885,0.8398500636302294
83,0.9607532393267812,0.8397626357405358
84,0.9606269154460679,0.8397759517615081
85,0.9604347440449857,0.8397779346437192
86,0.9601404788802383,0.8397340505839375
87,0.9599698940249405,0.8397642990336233
88,0.959824521918628,0.8398125670927906
89,0.9596618673096089,0.8397452718436158
90,0.9595686685033419,0.8397598636092778
91,0.9594644781537129,0.8397355329728765
92,0.9593627172417316,0.8398235951479549
93,0.9592639014852946,0.8397915894114742
94,0.9591463591825581,0.8397352715852934
95,0.9590790424110472,0.8396652122246834
96,0.9589818140044931,0.8397291010610003
97,0.9589515513930198,0.8396527804400928
98,0.9589049918386765,0.8397510496434402
99,0.9587909628862971,0.839630299051249
100,0.9587386974005148,0.8396483610065999
101,0.9587127443204303,0.8395714288886481
102,0.958637100251726,0.8394542779679947
103,0.9586117862766609,0.8393752946782748
104,0.9585437240594225,0.8392690762247192
105,0.9584740785581637,0.8393085272969325
106,0.9584483010047404,0.8392573178847349
107,0.9583573648052816,0.83916042319955
108,0.9582974529664661,0.8391720984329646
109,0.9582777826536395,0.8391399855460472
110,0.9582620164637036,0.8390874841587282
111,0.9582471247518687,0.8390376078407752
112,0.9582151114750801,0.8390512156961034
113,0.9581609641623913,0.8390148649180624
114,0.9581481077524967,0.8389701733315003
115,0.9580752795416093,0.8389555640947468
116,0.9580076215109873,0.8389416853198309
117,0.9579461437664044,0.8389840399568305
118,0.9578941859279324,0.8390242768619801
119,0.9578600523445491,0.8391038337671091
120,0.9578473897942024,0.8390821522002027
121,0.9578203321475908,0.8390962633962612
122,0.957812658778158,0.8390505965838235
123,0.9577871704085491,0.839071474415224
124,0.9577606749692804,0.8390584414781675
125,0.9577355043019753,0.8390460601879637
126,0.9577115925548035,0.8390342979622702
127,0.9576888765382594,0.8390231238478614
128,0.9576672963926157,0.839012508439173
129,0.9576619500634748,0.838972067177505
130,0.9576495469885462,0.8389912814080226
131,0.9576294837699675,0.8389811305685313
132,0.9576104264152734,0.8389714872710147
133,0.9575738995497716,0.8390105672334822
134,0.957516955463557,0.8390342691012518
135,0.9574629082291903,0.8390567858756326
136,0.9574128903205534,0.8390781768112945
137,0.9573834098213818,0.839111922296748
138,0.9573557393020444,0.8391439805079293
139,0.9573303068863138,0.8391754769466363
140,0.9573073066483037,0.8392106671132948
141,0.9572854564612596,0.8392440977716202
142,0.9572646989536682,0.8392758568970297
143,0.9572449795920258,0.8393060280661685
144,0.957226246504123,0.8393346906768504
145,0.9572087324391734,0.8393619201569981
146,0.957192306153343,0.8393877881631386
147,0.9571796116795083,0.839412362768972
148,0.9571394343882799,0.8394087948734655
149,0.9571369913491352,0.8393861117366466
150,0.9571350969887532,0.8393529820134039
